release.resource,release.version,name,label,unitOfObservation,keywords,description,numberOfRows
LifeCycle,1.0.0,core,,Patient,,,
LifeCycle,1.0.0,outcomes,,,,,
ALSPAC,1.0.0,core,,,,,
ALSPAC,1.0.0,followup1,,,,,
BIB,1.0.0,core,,,,,
EUChildNetwork,1.0.0,core,,,,,
ABCD,1.0.0,core,,,,,
CHOP,1.0.0,core,,,,,
DNBC,1.0.0,core,,,,,
EDEN,1.0.0,core,,,,,
ELFE,1.0.0,core,,,,,
GECKO,1.0.0,core,,,,,
GenR,1.0.0,core,,,,,
HBCS,1.0.0,core,,,,,
INMA,1.0.0,core,,,,,
MoBa,1.0.0,core,,,,,
NFBC66,1.0.0,core,,,,,
NFBC86,1.0.0,core,,,,,
NINFEA,1.0.0,core,,,,,
RAINE,1.0.0,core,,,,,
RHEA,1.0.0,core,,,,,
SWS,1.0.0,core,,,,,