release.version,table,name,collectionEvent.resource,collectionEvent.name,label,format,unit,references.table,references.name,mandatory,description,order,exampleValues,keywords,vocabularies,release.resource
1.0.0,core,abroad_child,,,Child's born abroad,boolean,,,,,,,,Child's country of birth,,LifeCycle
1.0.0,core,abroad_fa,,,Father's born abroad,boolean,,,,,,,,Paternal country of birth,,LifeCycle
1.0.0,core,abroad_mo,,,Mother's born abroad,boolean,,,,,,,,Maternal country of birth,,LifeCycle
1.0.0,core,adhd_age,,,exact age of the child (in years) when ADHD were recorded for adhd_raw_0,continuous,,,,,,,,ADHD symptoms,,LifeCycle
1.0.0,core,adhd_avg,,,average of available items comprising the total raw score of  adhd_raw_0,continuous,,,,,,,,ADHD symptoms,,LifeCycle
1.0.0,core,adhd_eval,,,who the test for measuring ADHD was administered/answered by for adhd_raw_0,categorical,,,,,,,,ADHD symptoms,,LifeCycle
1.0.0,core,adhd_instr,,,Cohort-specific instrument used to measure the ADHD for adhd_raw_0,categorical,,,,,,,,ADHD symptoms,,LifeCycle
1.0.0,core,adhd_pc,,,"ADHD, percentiles of adhd_pro_0",continuous,,,,,,,,ADHD symptoms,,LifeCycle
1.0.0,core,adhd_pro,,,total ADHD score after prorating adhd_raw_0,continuous,,,,,,,,ADHD symptoms,,LifeCycle
1.0.0,core,adhdR,,,ADHD diagnosis assessed within one year of childbirth (>0 year and <1 year),boolean,,,,,,,,ADHD Registry diagnosis,,LifeCycle
1.0.0,core,adhdR_age,,,exact age of the child (in years) at onset for ADHD diagnosis for adhdR_0,continuous,,,,,,,,ADHD Registry diagnosis,,LifeCycle
1.0.0,core,adhd_raw,,,"ADHD, total raw score assessed within one year of childbirth (>0 year and <1 year)",continuous,,,,,,,,ADHD symptoms,,LifeCycle
1.0.0,core,adhdR_eval,,,how was the medical diagnosis reported for adhdR_0,boolean,,,,,,,,ADHD Registry diagnosis,,LifeCycle
1.0.0,core,adipo,,,Child's adiponectin (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,adipoage,,,Age at adiponectin measurement (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,adipo_cord,,,adiponectin measured in cord blood,continuous,,,,,,,,,,LifeCycle
1.0.0,core,adipomes,,,Nonfasting or fasting when adiponectin measured (0 and <1 month),boolean,,,,,,,,,,LifeCycle
1.0.0,core,agebirth_m_d,,,Mother's age at delivery in days,integer,,,,,,,,Maternal age at birth,,LifeCycle
1.0.0,core,agebirth_m_y,,,Mother's age at delivery in complete years.,integer,,,,,,,,Maternal age at birth,,LifeCycle
1.0.0,core,agebirth_p_d,,,Father's age at birth in days,integer,,,,,,,,Paternal age at birth,,LifeCycle
1.0.0,core,agebirth_p_fath,,,"Type of father, father's age at birth",categorical,,,,,,,,Paternal age at birth,,LifeCycle
1.0.0,core,agebirth_p_y,,,Father's age at birth in complete years,integer,,,,,,,,Paternal age at birth,,LifeCycle
1.0.0,core,agrgr,,,"percentage of agrgr (agricultural areas, semi-natural areas and wetlands) land use within a buffer of 300 m at birth",continuous,,,,,,,,main_land_use_agricultural,,LifeCycle
1.0.0,core,agrgr_preg,,,"percentage of agrgr (agricultural areas, semi-natural areas and wetlands) land use within a buffer of 300 m at pregnancy",continuous,,,,,,,,main_land_use_agricultural,,LifeCycle
1.0.0,core,airpt,,,percentage of airpt (airports) land use within a buffer of 300 m at birth,continuous,,,,,,,,main_land_use_airports,,LifeCycle
1.0.0,core,airpt_preg,,,percentage of airpt (airports) land use within a buffer of 300 m at pregnancy,continuous,,,,,,,,main_land_use_airports,,LifeCycle
1.0.0,core,alc,,,Any alcohol intake in 1. trimester,boolean,,,,,,,,Maternal alcohol intake,,LifeCycle
1.0.0,core,all,,,"Doctor diagnosis of allergy, type of allergen unspecified within one year of birth (child aged between >-1 year and <1 year)",boolean,,,,,,,,Any allergy,,LifeCycle
1.0.0,core,allergy_any_m,,,Maternal history of any allergy before pregnancy (of index child),boolean,,,,,,,,"Respiratory allergy and skin characteristics",,LifeCycle
1.0.0,core,allergy_food_m,,,Maternal history of food allergy before pregnancy (of index child),boolean,,,,,,,,"Respiratory allergy and skin characteristics",,LifeCycle
1.0.0,core,allergy_inh_m,,,Maternal history of inhalant allergy before pregnancy (of index child),boolean,,,,,,,,"Respiratory allergy and skin characteristics",,LifeCycle
1.0.0,core,all_ever,,,"Ever doctor diagnosis of allergy, type of allergen unspecified",boolean,,,,,,,,Any allergy,,LifeCycle
1.0.0,core,anaphylaxis,,,Ever diagnosis of anaphylactic shock,boolean,,,,,,,,Anaphylaxis,,LifeCycle
1.0.0,core,an_m,,,Maternal anorexia nervosa active active from ≥0 to 1 year.,boolean,,,,,,,,Anorexia nervosa,,LifeCycle
1.0.0,core,apgar,,,5 minute Apgar score,integer,,,,,,,,Apgar score,,LifeCycle
1.0.0,core,areases_quint,,,area-level SES indicator (deprivation index in quintiles) at birth,categorical,,,,,,,,area_level_ses_quintiles,,LifeCycle
1.0.0,core,areases_quint_preg,,,area-level SES indicator (deprivation index in quintiles) at pregnancy,categorical,,,,,,,,area_level_ses_quintiles,,LifeCycle
1.0.0,core,areases_tert,,,area-level SES indicator (deprivation index in tertiles) at birth,categorical,,,,,,,,area_level_ses_tertiles,,LifeCycle
1.0.0,core,areases_tert_preg,,,area-level SES indicator (deprivation index in tertiles) at pregnancy,categorical,,,,,,,,area_level_ses_tertiles,,LifeCycle
1.0.0,core,armcirc,,,Child's arm circumference (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,armcircage,,,Age at arm circumference measurement (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,armcircmes,,,Measured vs. reported child arn circumference (0 and <1 month),boolean,,,,,,,,,,LifeCycle
1.0.0,core,armlength,,,Child's arm length (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,armlengthage,,,Age at arm length measurement (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,armlengthmes,,,Measured vs. reported child arm length (0 and <1 month),boolean,,,,,,,,,,LifeCycle
1.0.0,core,art,,,Assisted reproductive treatment,boolean,,,,,,,,,,LifeCycle
1.0.0,core,asd_age,,,exact age of the child (in years) when ASD were recorded for asd_raw_0,continuous,,,,,,,,Autism spectrum disorder symptoms,,LifeCycle
1.0.0,core,asd_avg,,,average of available items comprising the total raw score of  asd_raw_0,continuous,,,,,,,,Autism spectrum disorder symptoms,,LifeCycle
1.0.0,core,asd_eval,,,who the test for measuring ASD was administered/answered by for asd_raw_0,categorical,,,,,,,,Autism spectrum disorder symptoms,,LifeCycle
1.0.0,core,asd_instr,,,Cohort-specific instrument used to measure the ASD for asd_raw_0,categorical,,,,,,,,Autism spectrum disorder symptoms,,LifeCycle
1.0.0,core,asd_pc,,,"ASD, percentiles of asd_pro_0",continuous,,,,,,,,Autism spectrum disorder symptoms,,LifeCycle
1.0.0,core,asd_pro,,,total ASD score after prorating asd_raw_0,continuous,,,,,,,,Autism spectrum disorder symptoms,,LifeCycle
1.0.0,core,asdR,,,ASD diagnosis assessed within one year of childbirth (>0 year and <1 year),boolean,,,,,,,,ASD Registry diagnosis,,LifeCycle
1.0.0,core,asdR_age,,,exact age of the child (in years) at onset for ASD diagnosis for asdR_0,continuous,,,,,,,,ASD Registry diagnosis,,LifeCycle
1.0.0,core,asd_raw,,,"ASD, total raw score assessed within one year of childbirth (>0 year and <1 year)",continuous,,,,,,,,Autism spectrum disorder symptoms,,LifeCycle
1.0.0,core,asdR_eval,,,how was the medical diagnosis reported for asdR_0,boolean,,,,,,,,ASD Registry diagnosis,,LifeCycle
1.0.0,core,asthma,,,diagnosis of asthma within one year of birth (child aged between >-1 year and <1 year),boolean,,,,,,,,Asthma,,LifeCycle
1.0.0,core,Asthma_adult,,,Ever diagnosis of asthma in adulthood based on physician diagnosis,boolean,,,,,,,,Respiratory,,LifeCycle
1.0.0,core,asthma_bf,,,Paternal history of asthma (biological father),boolean,,,,,,,,Paternal asthma,,LifeCycle
1.0.0,core,asthma_current_ISAAC,,,Current asthma  (ISAAC),boolean,,,,,,,,ISAAC,,LifeCycle
1.0.0,core,asthma_current_MeDALL,,,Current asthma (MeDALL),boolean,,,,,,,,MeDALL,,LifeCycle
1.0.0,core,asthma_ever_CHICOS,,,School age asthma according to CHICOS definition,boolean,,,,,,,,CHICOS,,LifeCycle
1.0.0,core,asthma_ever_MeDALL,,,Ever diagnosis of asthma according to MeDALL definition,boolean,,,,,,,,MeDALL,,LifeCycle
1.0.0,core,asthma_m,,,Maternal history of asthma before pregnancy,boolean,,,,,,,,Maternal asthma,,LifeCycle
1.0.0,core,asthma_med,,,use of asthma medication within one year of birth (child aged between >-1 year and <1 year),boolean,,,,,,,,Asthma medication,,LifeCycle
1.0.0,core,asthma_med_spec,,,"use of asthma medication, type specified, within one year of birth (child aged between >-1 year and <1 year)",categorical,,,,,,,,Asthma medication,,LifeCycle
1.0.0,core,bdens100,,,building density within a buffer of 100 m at birth,continuous,,,,,,,,building_density100,,LifeCycle
1.0.0,core,bdens100_preg,,,building density within a buffer of 100 m at pregnancy,continuous,,,,,,,,building_density100,,LifeCycle
1.0.0,core,bdens300,,,building density within a buffer of 300 m at birth,continuous,,,,,,,,building_density300,,LifeCycle
1.0.0,core,bdens300_preg,,,building density within a buffer of 300 m at pregnancy,continuous,,,,,,,,building_density300,,LifeCycle
1.0.0,core,BHR,,,"Bronchial hyperresponsiveness, as measured by metacholine challenge test, within one year of birth (child aged between >-1 year and <1 year)",boolean,,,,,,,,Bronchial hyperresponsiveness,,LifeCycle
1.0.0,core,bicepsf,,,Child's bicep skinfold (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,bicepsfage,,,Age at bicep skinfold measurement (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,bicepsfmes,,,Measured vs. reported child bicep skinfold (0 and <1 month),boolean,,,,,,,,,,LifeCycle
1.0.0,core,bio,,,Child's body fat % from bioimpedance (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,bioage,,,Age at bioimpedance measurement (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,biomes,,,Device used to measure bioimpedance (0 and <1 month),boolean,,,,,,,,,,LifeCycle
1.0.0,core,birth_head_circum,,,Circumference of the head at birth,continuous,,,,,,,,Birth head circumference,,LifeCycle
1.0.0,core,birth_length,,,Length of the child at birth,continuous,,,,,,,,Birth length,,LifeCycle
1.0.0,core,birth_month,,,Birth month of the index child,integer,,,,,,,,Year and month of birth,,LifeCycle
1.0.0,core,birth_weight,,,Weight of the child at birth,continuous,,,,,,,,Birth weight,,LifeCycle
1.0.0,core,birth_year,,,Birth year of the index child,integer,,,,,,,,Year and month of birth,,LifeCycle
1.0.0,core,blue_dist,,,"straight line distance to nearest blue space > 5,000 m2 at birth",continuous,,,,,,,,blue_distance,,LifeCycle
1.0.0,core,blue_dist_preg,,,"straight line distance to nearest blue space > 5,000 m2 at pregnancy",continuous,,,,,,,,blue_distance,,LifeCycle
1.0.0,core,blue_size,,,"area of closest blue space > 5,000m2 at birth",continuous,,,,,,,,blue_size,,LifeCycle
1.0.0,core,blue_size_preg,,,"area of closest blue space > 5,000m2 at pregnancy",continuous,,,,,,,,blue_size,,LifeCycle
1.0.0,core,blueyn300,,,"is there a blue space  > 5,000 m2 in a distance of 300 m? at birth",boolean,,,,,,,,blue_access,,LifeCycle
1.0.0,core,blueyn300_preg,,,"is there a blue space  > 5,000 m2 in a distance of 300 m? at pregnancy",boolean,,,,,,,,blue_access,,LifeCycle
1.0.0,core,bn_m,,,Maternal bulimia nervosa active active from ≥0 to 1 year.,boolean,,,,,,,,Bulimia nervosa,,LifeCycle
1.0.0,core,bpage,,,Age at peripheral blood pressure measurement (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,breastfed_any,,,Total duration of any breastfeeding,continuous,,,,,,,,Breastfeeding,,LifeCycle
1.0.0,core,breastfed_ever,,,Child ever breast fed,boolean,,,,,,,,Breastfeeding,,LifeCycle
1.0.0,core,breastfed_excl,,,Total duration of exclusive breastfeeding,continuous,,,,,,,,Breastfeeding,,LifeCycle
1.0.0,core,bus_lines_100,,,length of public bus lines within a buffer of 100 m at birth,continuous,,,,,,,,access_to_public_transport_lines100,,LifeCycle
1.0.0,core,bus_lines_100_preg,,,length of public bus lines within a buffer of 100 m at pregnancy,continuous,,,,,,,,access_to_public_transport_lines100,,LifeCycle
1.0.0,core,bus_lines_300,,,length of public bus lines within a buffer of 300 m at birth,continuous,,,,,,,,access_to_public_transport_lines300,,LifeCycle
1.0.0,core,bus_lines_300_preg,,,length of public bus lines within a buffer of 300 m at pregnancy,continuous,,,,,,,,access_to_public_transport_lines300,,LifeCycle
1.0.0,core,bus_lines_500,,,length of public bus lines within a buffer of 500 m at birth,continuous,,,,,,,,access_to_public_transport_lines500,,LifeCycle
1.0.0,core,bus_lines_500_preg,,,length of public bus lines within a buffer of 500 m at pregnancy,continuous,,,,,,,,access_to_public_transport_lines500,,LifeCycle
1.0.0,core,bus_stops_100,,,number of public bus stops within a buffer of 100 m at birth,continuous,,,,,,,,access_to_public_transport_stops100,,LifeCycle
1.0.0,core,bus_stops_100_preg,,,number of public bus stops within a buffer of 100 m at pregnancy,continuous,,,,,,,,access_to_public_transport_stops100,,LifeCycle
1.0.0,core,bus_stops_300,,,number of public bus stops within a buffer of 100 m at birth,continuous,,,,,,,,access_to_public_transport_stops300,,LifeCycle
1.0.0,core,bus_stops_300_preg,,,number of public bus stops within a buffer of 100 m at pregnancy,continuous,,,,,,,,access_to_public_transport_stops300,,LifeCycle
1.0.0,core,bus_stops_500,,,number of public bus stops within a buffer of 500 m at birth,continuous,,,,,,,,access_to_public_transport_stops500,,LifeCycle
1.0.0,core,bus_stops_500_preg,,,number of public bus stops within a buffer of 500 m at pregnancy,continuous,,,,,,,,access_to_public_transport_stops500,,LifeCycle
1.0.0,core,cats,,,Cat ownership (≥0 to <1year),boolean,,,,,,,,Cats (any),,LifeCycle
1.0.0,core,cats_preg,,,Cat ownership in pregnancy,boolean,,,,,,,,Cats (any),,LifeCycle
1.0.0,core,cats_quant,,,Number of cats owned (≥0 to <1year),integer,,,,,,,,Cats (number),,LifeCycle
1.0.0,core,cats_quant_preg,,,Number of cats owned in pregnancy,integer,,,,,,,,Cats (number),,LifeCycle
1.0.0,core,cbpage,,,Age at central (i.e. aortic) blood pressure measurement (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,cbpsit,,,Standing or sitting when central (i.e. aortic) blood pressure measured (0 and <1 month),boolean,,,,,,,,,,LifeCycle
1.0.0,core,cdbp,,,Child's central (i.e. aortic) diastolic blood pressure (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,cer_palsy,,,Any subtype of cerebral palsy,boolean,,,,,,,,Cerebral palsy,,LifeCycle
1.0.0,core,cfpwv,,,Child's carotid-femoral pulse wave velocity (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,cfpwvage,,,Age at carotid-femoral pulse wave velocity measurement (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,childcare,,,Child cared for by care givers other than parents (age ≥0 and <1 year),boolean,,,,,,,,Childcare,,LifeCycle
1.0.0,core,childcarecentre,,,Child attending a day care centre (age ≥0 and <1 year),boolean,,,,,,,,Childcare,,LifeCycle
1.0.0,core,childcare_intro,,,Age child started in child care,continuous,,,,,,,,Childcare,,LifeCycle
1.0.0,core,childcareprof,,,Child cared for by a child care professional (age ≥0 and <1 year),boolean,,,,,,,,Childcare,,LifeCycle
1.0.0,core,childcarerel,,,Child cared for by relatives/friends/nanny/babysitter/au pair (age ≥0 and <1 year),boolean,,,,,,,,Childcare,,LifeCycle
1.0.0,core,child_id,,,Unique identifier number for the index child,integer,,,,,,,,Child id,,LifeCycle
1.0.0,core,child_no,,,Within pregnancy birth order,integer,,,,,,,,Child number,,LifeCycle
1.0.0,core,chol,,,Child's total cholesterol (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,cholage,,,Age at total cholesterol measurement (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,chol_cord,,,total cholesterol measured in cord blood,continuous,,,,,,,,,,LifeCycle
1.0.0,core,cholmes,,,Nonfasting or fasting when total cholesterol measured (0 and <1 month),boolean,,,,,,,,,,LifeCycle
1.0.0,core,cimt,,,Child's carotid intima-media thickness (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,cimtage,,,Age at carotid intima-media thickness measurement (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,cimtmes,,,Measured vs. reported child waist circumference (0 and <1 month),boolean,,,,,,,,,,LifeCycle
1.0.0,core,cob_m,,,Maternal country of birth,categorical,,,,,,,,Maternal country of birth,,LifeCycle
1.0.0,core,cob_p,,,Paternal country of birth,categorical,,,,,,,,Paternal country of birth,,LifeCycle
1.0.0,core,cob_p_fath,,,"Type of father, paternal country of birth",categorical,,,,,,,,Paternal country of birth,,LifeCycle
1.0.0,core,cohab,,,Cohabitation status of the mother (age ≥0 year and <1 year),boolean,,,,,,,,Maternal cohabitation status,,LifeCycle
1.0.0,core,coh_country,,,Country of the cohort,categorical,,,,,,,,Country of cohort,,LifeCycle
1.0.0,core,cohort_id,,,Unique identifier number for the cohort,categorical,,,,,,,,Cohort id,,LifeCycle
1.0.0,core,con_anomalies,,,Any congenital malformation,boolean,,,,,,,,Congenital anomalies,,LifeCycle
1.0.0,core,connind100,,,connectivity density within a buffer of 100 m at birth,continuous,,,,,,,,connectivity_density100,,LifeCycle
1.0.0,core,connind100_preg,,,connectivity density within a buffer of 100 m at pregnancy,continuous,,,,,,,,connectivity_density100,,LifeCycle
1.0.0,core,connind300,,,connectivity density within a buffer of 300 m at birth,continuous,,,,,,,,connectivity_density300,,LifeCycle
1.0.0,core,connind300_preg,,,connectivity density within a buffer of 300 m at pregnancy,continuous,,,,,,,,connectivity_density300,,LifeCycle
1.0.0,core,COPD_adult_diagnosis,,,Ever diagnosis of COPD in adulthood based on physician diagnosis,boolean,,,,,,,,Respiratory,,LifeCycle
1.0.0,core,COPD_adult_GOLD,,,Ever diagnosis of COPD in adulthood based on GOLD criteria,boolean,,,,,,,,Respiratory,,LifeCycle
1.0.0,core,COPD_adult_LLN,,,Ever diagnosis of COPD in adulthood based on lower limit of normal (LLN),boolean,,,,,,,,Respiratory,,LifeCycle
1.0.0,core,crp,,,Child's CRP (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,crpage,,,Age at CRP measurement (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,crp_cord,,,CRP measured in cord blood,continuous,,,,,,,,,,LifeCycle
1.0.0,core,crpmes,,,Nonfasting or fasting when CRP measured (0 and <1 month),boolean,,,,,,,,,,LifeCycle
1.0.0,core,crpwv,,,Child's carotid-radial pulse wave velocity (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,crpwvage,,,Age at carotid-radial pulse wave velocity measurement (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,csbp,,,Child's central (i.e. aortic) systolic blood pressure (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,dairy_pgn,,,Milk and milk products during pregnancy,continuous,,,,,,,,Food groups,,LifeCycle
1.0.0,core,dairy_psc,,,Milk and milk products in  preschool age (2-4 years),continuous,,,,,,,,Food groups,,LifeCycle
1.0.0,core,dairy_sch,,,Milk and milk products in school-age children (5-8 years),continuous,,,,,,,,Food groups,,LifeCycle
1.0.0,core,dash_pgn,,,Fung's DASH diet index in pregnancy,integer,,,,,,,,DASH diet index,,LifeCycle
1.0.0,core,dash_sch,,,Fung's DASH diet index in school-aged children (5-8 years),integer,,,,,,,,DASH diet index,,LifeCycle
1.0.0,core,dbp,,,Child's diastolic blood pressure - 1st measurement (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,dbpav,,,Child's diastolic blood pressure - average (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,death_child,,,Indicator variable for death of the child,boolean,,,,,,,,Death of child,,LifeCycle
1.0.0,core,death_child_age,,,Age of death of the child,integer,,,,,,,,Death of child,,LifeCycle
1.0.0,core,death_m,,,Maternal death,boolean,,,,,,,,Maternal death,,LifeCycle
1.0.0,core,death_m_age,,,Age of the child at the time of mother's death,integer,,,,,,,,Maternal death,,LifeCycle
1.0.0,core,death_p,,,Paternal death,boolean,,,,,,,,Paternal death,,LifeCycle
1.0.0,core,death_p_age,,,Age of the child at the time of father's death,integer,,,,,,,,Paternal death,,LifeCycle
1.0.0,core,death_p_fath,,,"Type of father, paternal death",categorical,,,,,,,,Paternal death,,LifeCycle
1.0.0,core,dia_bf,,,Diabetes diagnosis (biological father),categorical,,,,,,,,Paternal diabetes,,LifeCycle
1.0.0,core,dietage_psc,,,Exact age at dietary assessment in preschool age (2-4 years),continuous,,,,,,,,Exact age at dietary assessment,,LifeCycle
1.0.0,core,dietage_sch,,,Exact age at dietary assessment of  school-age children,continuous,,,,,,,,Exact age at dietary assessment,,LifeCycle
1.0.0,core,dietass_pgn,,,Method of dietary assessment in pregnancy,categorical,,,,,,,,Method of dietary assessment,,LifeCycle
1.0.0,core,dietass_psc,,,Method of dietary assessment in preschool age (age 2-4),categorical,,,,,,,,Method of dietary assessment,,LifeCycle
1.0.0,core,dietass_sch,,,Method of dietary assessment in school-age children (5-8 years),categorical,,,,,,,,Method of dietary assessment,,LifeCycle
1.0.0,core,dietga_pgn,,,Gestational week at dietary assessment,continuous,,,,,,,,Gestational week at dietary assessment,,LifeCycle
1.0.0,core,distinvnear1,,,inverse distance to nearest road at birth,continuous,,,,,,,,distance,,LifeCycle
1.0.0,core,distinvnear1_preg,,,inverse distance to nearest road at pregnancy,continuous,,,,,,,,distance,,LifeCycle
1.0.0,core,dogs,,,Dog ownership (≥0 to <1year),boolean,,,,,,,,Dogs (any),,LifeCycle
1.0.0,core,dogs_preg,,,Dog ownership in pregnancy,boolean,,,,,,,,Dogs (any),,LifeCycle
1.0.0,core,dogs_quant,,,Number of dogs owned (≥0 to <1year),integer,,,,,,,,Dogs (number),,LifeCycle
1.0.0,core,dogs_quant_preg,,,Number of dogs owned in pregnancy,integer,,,,,,,,Dogs (number),,LifeCycle
1.0.0,core,dominant_armc,,,Arm circumference measured in dominant or non-dominant arm (0 and <1 month),boolean,,,,,,,,,,LifeCycle
1.0.0,core,dxafm,,,Child's whole-body DXA fat mass (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,dxafmage,,,Age at DXA fat mass measurement (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,dxafmmes,,,Device used to measure DXA fat mass (0 and <1 month),boolean,,,,,,,,,,LifeCycle
1.0.0,core,dxalm,,,Child's whole-body DXA lean mass (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,dxalmage,,,Age at DXA lean mass measurement (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,dxalmmes,,,Device used to measure DXA lean mass (0 and <1 month),boolean,,,,,,,,,,LifeCycle
1.0.0,core,eczema,,,Doctor diagnosis of eczema within one year of birth (child aged between >-1 year and <1 year),boolean,,,,,,,,Eczema,,LifeCycle
1.0.0,core,eczema_ever,,,Ever doctor-diagnosis of eczema,boolean,,,,,,,,Eczema,,LifeCycle
